Source,Target,Weight
n0,n1,1.0
n0,n2,1.0
n0,n3,1.0
n0,n4,1.0
n0,n5,1.0
n0,n8,1.0
n0,n11,1.0
n0,n13,1.0
n1,n0,1.0
n1,n2,1.0
n1,n3,1.0
n1,n4,1.0
n1,n5,1.0
n1,n6,1.0
n1,n7,1.0
n1,n8,1.0
n1,n9,1.0
n1,n10,1.0
n1,n11,1.0
n1,n13,1.0
n1,n14,1.0
n1,n17,1.0
n1,n28,1.0
n2,n0,1.0
n2,n1,1.0
n2,n3,1.0
n2,n4,1.0
n2,n5,1.0
n2,n8,1.0
n2,n9,1.0
n2,n11,1.0
n2,n12,1.0
n2,n13,1.0
n2,n14,1.0
n2,n17,1.0
n2,n26,1.0
n2,n28,1.0
n3,n0,1.0
n3,n1,1.0
n3,n2,1.0
n3,n4,1.0
n3,n7,1.0
n3,n8,1.0
n3,n9,1.0
n3,n10,1.0
n3,n11,1.0
n3,n12,1.0
n3,n15,1.0
n3,n17,1.0
n3,n28,1.0
n4,n0,1.0
n4,n1,1.0
n4,n2,1.0
n4,n3,1.0
n4,n5,1.0
n4,n6,1.0
n4,n7,1.0
n4,n8,1.0
n4,n12,1.0
n4,n13,1.0
n4,n15,1.0
n4,n17,1.0
n4,n18,1.0
n4,n19,1.0
n4,n20,1.0
n4,n21,1.0
n4,n23,1.0
n4,n26,1.0
n4,n27,1.0
n4,n29,1.0
n5,n0,1.0
n5,n1,1.0
n5,n2,1.0
n5,n4,1.0
n5,n8,1.0
n5,n10,1.0
n5,n11,1.0
n5,n17,1.0
n5,n28,1.0
n6,n1,1.0
n6,n4,1.0
n6,n7,1.0
n6,n18,1.0
n6,n19,1.0
n7,n1,1.0
n7,n3,1.0
n7,n4,1.0
n7,n6,1.0
n7,n8,1.0
n7,n9,1.0
n7,n11,1.0
n7,n12,1.0
n7,n13,1.0
n7,n14,1.0
n7,n15,1.0
n7,n17,1.0
n7,n26,1.0
n7,n28,1.0
n8,n0,1.0
n8,n1,1.0
n8,n2,1.0
n8,n3,1.0
n8,n4,1.0
n8,n5,1.0
n8,n7,1.0
n8,n9,1.0
n8,n10,1.0
n8,n11,1.0
n8,n12,1.0
n8,n13,1.0
n8,n14,1.0
n8,n17,1.0
n8,n28,1.0
n8,n29,1.0
n9,n1,1.0
n9,n2,1.0
n9,n3,1.0
n9,n5,1.0
n9,n7,1.0
n9,n8,1.0
n9,n11,1.0
n9,n12,1.0
n9,n14,1.0
n9,n15,1.0
n9,n16,1.0
n9,n17,1.0
n9,n24,1.0
n9,n26,1.0
n9,n28,1.0
n9,n29,1.0
n9,n40,1.0
n10,n1,1.0
n10,n3,1.0
n10,n8,1.0
n10,n11,1.0
n10,n14,1.0
n10,n17,1.0
n10,n24,1.0
n10,n28,1.0
n11,n0,1.0
n11,n1,1.0
n11,n2,1.0
n11,n7,1.0
n11,n8,1.0
n11,n9,1.0
n11,n10,1.0
n11,n12,1.0
n11,n13,1.0
n11,n14,1.0
n11,n15,1.0
n11,n16,1.0
n11,n28,1.0
n12,n2,1.0
n12,n3,1.0
n12,n4,1.0
n12,n7,1.0
n12,n8,1.0
n12,n9,1.0
n12,n10,1.0
n12,n11,1.0
n12,n14,1.0
n12,n15,1.0
n12,n16,1.0
n12,n17,1.0
n12,n19,1.0
n12,n26,1.0
n12,n28,1.0
n12,n29,1.0
n12,n34,1.0
n12,n37,1.0
n12,n39,1.0
n12,n40,1.0
n13,n0,1.0
n13,n2,1.0
n13,n4,1.0
n13,n7,1.0
n13,n8,1.0
n13,n11,1.0
n13,n15,1.0
n13,n16,1.0
n14,n2,1.0
n14,n7,1.0
n14,n8,1.0
n14,n9,1.0
n14,n10,1.0
n14,n11,1.0
n14,n12,1.0
n14,n16,1.0
n14,n17,1.0
n14,n28,1.0
n14,n29,1.0
n14,n30,1.0
n14,n32,1.0
n14,n33,1.0
n14,n34,1.0
n14,n36,1.0
n14,n37,1.0
n14,n38,1.0
n14,n39,1.0
n14,n40,1.0
n15,n3,1.0
n15,n4,1.0
n15,n9,1.0
n15,n10,1.0
n15,n11,1.0
n15,n12,1.0
