Source,Target,Weight
n0,n3,2.0
n0,n35,4.0
n0,n43,2.0
n0,n44,4.0
n0,n60,8.0
n0,n61,2.0
n1,n14,4.0
n1,n17,10.0
n1,n20,2.0
n1,n24,4.0
n1,n28,2.0
n1,n30,4.0
n1,n31,1.0
n1,n34,12.0
n1,n36,2.0
n1,n38,1.0
n1,n40,1.0
n1,n42,2.0
n1,n45,8.0
n1,n50,1.0
n1,n51,2.0
n1,n78,4.0
n1,n79,1.0
n2,n16,6.0
n2,n52,4.0
n2,n58,2.0
n2,n60,2.0
n3,n0,2.0
n3,n2,1.0
n3,n35,1.0
n3,n44,1.0
n3,n52,1.0
n3,n59,2.0
n3,n60,4.0
n3,n73,2.0
n3,n74,14.0
n3,n77,8.0
n4,n5,1.0
n4,n6,2.0
n4,n8,1.0
n4,n9,10.0
n4,n11,1.0
n4,n12,10.0
n4,n15,1.0
n4,n21,1.0
n4,n22,1.0
n4,n26,2.0
n4,n27,1.0
n4,n36,4.0
n4,n37,1.0
n4,n39,1.0
n4,n41,4.0
n4,n47,2.0
n4,n48,3.0
n4,n49,1.0
n4,n51,4.0
n4,n60,1.0
n4,n63,8.0
n4,n64,1.0
n4,n66,8.0
n4,n67,14.0
n4,n68,2.0
n4,n71,1.0
n4,n75,2.0
n4,n76,8.0
n5,n6,14.0
n5,n28,2.0
n5,n29,10.0
n5,n46,1.0
n5,n49,1.0
n5,n57,1.0
n5,n65,14.0
n5,n67,12.0
n5,n68,1.0
n6,n5,14.0
n6,n9,6.0
n6,n11,1.0
n6,n12,6.0
n6,n15,1.0
n6,n17,1.0
n6,n22,6.0
n6,n26,6.0
n6,n28,6.0
n6,n29,2.0
n6,n41,2.0
n6,n46,8.0
n6,n62,16.0
n6,n67,2.0
n6,n68,3.0
n6,n71,2.0
n6,n76,10.0
n7,n30,8.0
n7,n40,8.0
n8,n2,1.0
n8,n3,1.0
n8,n16,1.0
n8,n44,1.0
n8,n52,1.0
n8,n58,1.0
n8,n59,12.0
n8,n60,1.0
n9,n4,2.0
n9,n6,2.0
n9,n12,2.0
n9,n21,4.0
n9,n22,4.0
n9,n26,8.0
n9,n27,4.0
n9,n41,16.0
n9,n48,2.0
n9,n64,4.0
n9,n67,12.0
n9,n68,14.0
n9,n70,4.0
n9,n71,1.0
n9,n75,10.0
n9,n76,2.0
n11,n15,2.0
n11,n21,2.0
n11,n22,2.0
n11,n48,10.0
n11,n68,4.0
n11,n76,4.0
n12,n4,2.0
n12,n6,12.0
n12,n11,6.0
n12,n15,12.0
n12,n20,4.0
n12,n22,1.0
n12,n26,6.0
n12,n27,2.0
n12,n32,8.0
n12,n48,12.0
n12,n67,2.0
n12,n68,1.0
n12,n76,12.0
n13,n19,14.0
n13,n25,16.0
n13,n50,6.0
n13,n55,16.0
n13,n79,14.0
n14,n1,4.0
n14,n13,1.0
n14,n17,2.0
n14,n18,2.0
n14,n19,1.0
n14,n20,2.0
n14,n24,2.0
n14,n28,4.0
n14,n30,2.0
n14,n33,2.0
n14,n34,6.0
n14,n36,1.0
n14,n38,2.0
n14,n40,1.0
n14,n42,4.0
n14,n45,4.0
n14,n50,1.0
n14,n53,5.0
n14,n56,6.0
n14,n57,3.0
n14,n78,2.0
n14,n79,1.0
n15,n11,6.0
n15,n12,10.0
n15,n32,12.0
n15,n39,14.0
n15,n64,3.0
n15,n71,2.0
n16,n2,2.0
n16,n3,1.0
n16,n44,1.0
n16,n52,2.0
n16,n53,6.0
n16,n58,8.0
n16,n60,3.0
n16,n61,1.0
n17,n1,16.0
n17,n45,14.0
n17,n57,14.0
n18,n17,3.0
n18,n20,10.0
n18,n28,14.0
n18,n30,8.0
n18,n38,14.0
n18,n42,4.0
n18,n45,6.0
n18,n53,2.0
n18,n56,1.0
n18,n57,2.0
n18,n78,14.0
n19,n1,1.0
n19,n5,2.0
n19,n7,1.0
n19,n13,10.0
n19,n17,1.0
n19,n18,2.0
n19,n24,2.0
n19,n25,14.0
n19,n30,1.0
