Id,group
n0,2.0
n1,0.0
n2,2.0
n3,2.0
n4,1.0
n5,1.0
n6,1.0
n7,0.0
n8,2.0
n9,1.0
n10,0.0
n11,1.0
n12,1.0
n13,0.0
n14,0.0
n15,1.0
n16,2.0
n17,0.0
n18,0.0
n19,0.0
n20,0.0
n21,1.0
n22,1.0
n23,0.0
n24,0.0
n25,0.0
n26,1.0
n27,1.0
n28,0.0
n29,1.0
n30,0.0
n31,0.0
n32,1.0
n33,0.0
n34,0.0
n35,2.0
n36,0.0
n37,2.0
n38,0.0
n39,1.0
n40,0.0
n41,1.0
n42,0.0
n43,2.0
n44,2.0
n45,0.0
n46,1.0
n47,0.0
n48,1.0
n49,3.0
n50,0.0
n51,0.0
n52,2.0
n53,0.0
n54,0.0
n55,0.0
n56,0.0
n57,0.0
n58,2.0
n59,2.0
n60,2.0
n61,2.0
n62,1.0
n63,0.0
n64,1.0
n65,1.0
n66,1.0
n67,1.0
n68,1.0
n69,3.0
n70,1.0
n71,1.0
n72,2.0
n73,2.0
n74,2.0
n75,1.0
n76,1.0
n77,2.0
n78,0.0
n79,0.0
n80,2.0
